分类,指标,实际值,口径或说明
数据范围,来源表,bigquery-public-data.ga4_obfuscated_sample_ecommerce.events_*,Google 官方脱敏 GA4 公开样例
数据范围,日期跨度,2020-11-01 至 2021-01-31（92日）,日历口径使用 GA4 event_date
数据范围,事件行数,4295584,来源事件表总行数
身份,设备级用户数,270154,user_pseudo_id 去重
身份,新设备用户数,257314,发生 first_visit 的 user_pseudo_id
身份,user_id覆盖用户数,0,不支持跨设备用户结论
会话,复合会话数,360129,user_pseudo_id 与 ga_session_id 复合去重
订单,可识别规范订单数,4466,用户 + 日期 + 有效交易编号；排除空值与 (not set)
订单,收入可识别订单数,4466,恰有一个非空收入值
订单,收入冲突订单数,0,多个不同非空值；主收入指标排除
订单,零收入订单数,0,保留合法零值
订单,已识别收入美元,308830,排除收入冲突和全空订单
商品,购买商品行数量完整率,97.20%,"15,555/16,003；仅 purchase 商品行"
顺序,核心到高意向同时间戳会话,2263,顺序未知，不计入严格有序漏斗
测试,基础层检查,10/10通过,BigQuery 实际执行
测试,核心模型检查,7/7通过,BigQuery 实际执行
测试,分析集市检查,13/13通过,BigQuery 实际执行
